Subject	Resp_Type	Code_Resp_Type	Score	Stimulus	Detailed_Disposition	Disposition	Numerosity	
4	R3	3	1	ran9_2	3	3	1	
4	R1	1	1	ran14_2	3	3	2	
4	R2	2	1	ran14_2	3	3	2	
4	R3	3	2	ran14_2	3	3	2	
5	R1	1	1	mix9_OUT	12	1	1	
5	R2	2	1	mix9_OUT	12	1	1	
5	R3	3	2	mix9_OUT	12	1	1	
5	R1	1	1	mix14_OUT	12	1	2	
5	R2	2	0	mix14_OUT	12	1	2	
5	R3	3	1	mix14_OUT	12	1	2	
5	R1	1	1	mix9_IN	11	1	1	
5	R2	2	0	mix9_IN	11	1	1	
5	R3	3	1	mix9_IN	11	1	1	
5	R1	1	1	mix14_IN	11	1	2	
5	R2	2	0	mix14_IN	11	1	2	
5	R3	3	1	mix14_IN	11	1	2	
5	R1	1	1	tot9_IN	21	2	1	
5	R2	2	1	tot9_IN	21	2	1	
5	R3	3	2	tot9_IN	21	2	1	
5	R1	1	1	tot14_IN	21	2	2	
5	R2	2	1	tot14_IN	21	2	2	
5	R3	3	2	tot14_IN	21	2	2	
5	R1	1	1	tot9_OUT	22	2	1	
5	R2	2	1	tot9_OUT	22	2	1	
5	R3	3	2	tot9_OUT	22	2	1	
5	R1	1	1	tot14_OUT	22	2	2	
5	R2	2	0	tot14_OUT	22	2	2	
5	R3	3	1	tot14_OUT	22	2	2	
5	R1	1	1	ran9_1	3	3	1	
5	R2	2	1	ran9_1	3	3	1	
5	R3	3	2	ran9_1	3	3	1	
5	R1	1	0.75	ran14_1	3	3	2	
5	R2	2	0	ran14_1	3	3	2	
5	R3	3	0.75	ran14_1	3	3	2	
5	R1	1	1	ran9_2	3	3	1	
5	R2	2	1	ran9_2	3	3	1	
5	R3	3	2	ran9_2	3	3	1	
5	R1	1	1	ran14_2	3	3	2	
5	R2	2	0	ran14_2	3	3	2	
5	R3	3	1	ran14_2	3	3	2	
7	R1	1	1	mix9_OUT	12	1	1	
7	R2	2	1	mix9_OUT	12	1	1	
7	R3	3	2	mix9_OUT	12	1	1	
7	R1	1	0	mix14_OUT	12	1	2	
7	R2	2	0	mix14_OUT	12	1	2	
7	R3	3	0	mix14_OUT	12	1	2	
7	R1	1	1	mix9_IN	11	1	1	
7	R2	2	1	mix9_IN	11	1	1	
7	R3	3	2	mix9_IN	11	1	1	
7	R1	1	1	mix14_IN	11	1	2	
7	R2	2	0	mix14_IN	11	1	2	
7	R3	3	1	mix14_IN	11	1	2	
7	R1	1	1	tot9_IN	21	2	1	
7	R2	2	0	tot9_IN	21	2	1	
7	R3	3	1	tot9_IN	21	2	1	
7	R1	1	1	tot14_IN	21	2	2	
7	R2	2	1	tot14_IN	21	2	2	
7	R3	3	2	tot14_IN	21	2	2	
7	R1	1	1	tot9_OUT	22	2	1	
7	R2	2	1	tot9_OUT	22	2	1	
7	R3	3	2	tot9_OUT	22	2	1	
7	R1	1	1	tot14_OUT	22	2	2	
7	R2	2	0	tot14_OUT	22	2	2	
7	R3	3	1	tot14_OUT	22	2	2	
7	R1	1	1	ran9_1	3	3	1	
7	R2	2	1	ran9_1	3	3	1	
7	R3	3	2	ran9_1	3	3	1	
7	R1	1	0.75	ran14_1	3	3	2	
7	R2	2	0.75	ran14_1	3	3	2	
7	R3	3	1.5	ran14_1	3	3	2	
7	R1	1	1	ran9_2	3	3	1	
7	R2	2	0	ran9_2	3	3	1	
7	R3	3	1	ran9_2	3	3	1	
7	R1	1	1	ran14_2	3	3	2	
7	R2	2	0	ran14_2	3	3	2	
7	R3	3	1	ran14_2	3	3	2	
8	R1	1	0.75	mix9_OUT	12	1	1	
8	R2	2	0	mix9_OUT	12	1	1	
8	R3	3	0.75	mix9_OUT	12	1	1	
8	R1	1	0	mix14_OUT	12	1	2	
8	R2	2	0	mix14_OUT	12	1	2	
8	R3	3	0	mix14_OUT	12	1	2	
8	R1	1	1	mix9_IN	11	1	1	
8	R2	2	1	mix9_IN	11	1	1	
8	R3	3	2	mix9_IN	11	1	1	
8	R1	1	1	mix14_IN	11	1	2	
8	R2	2	0	mix14_IN	11	1	2	
8	R3	3	1	mix14_IN	11	1	2	
8	R1	1	1	tot9_IN	21	2	1	
8	R2	2	0	tot9_IN	21	2	1	
8	R3	3	1	tot9_IN	21	2	1	
8	R1	1	1	tot14_IN	21	2	2	
8	R2	2	1	tot14_IN	21	2	2	
8	R3	3	2	tot14_IN	21	2	2	
8	R1	1	1	tot9_OUT	22	2	1	
8	R2	2	1	tot9_OUT	22	2	1	
8	R3	3	2	tot9_OUT	22	2	1	
8	R1	1	1	tot14_OUT	22	2	2	
8	R2	2	1	tot14_OUT	22	2	2	
8	R3	3	2	tot14_OUT	22	2	2	
8	R1	1	1	ran9_1	3	3	1	
8	R2	2	1	ran9_1	3	3	1	
8	R3	3	2	ran9_1	3	3	1	
8	R1	1	0	ran14_1	3	3	2	
8	R2	2	0.75	ran14_1	3	3	2	
8	R3	3	0.75	ran14_1	3	3	2	
8	R1	1	1	ran9_2	3	3	1	
8	R2	2	0	ran9_2	3	3	1	
8	R3	3	1	ran9_2	3	3	1	
8	R1	1	1	ran14_2	3	3	2	
8	R2	2	0	ran14_2	3	3	2	
8	R3	3	1	ran14_2	3	3	2	
9	R1	1	0.75	mix9_OUT	12	1	1	
9	R2	2	0.75	mix9_OUT	12	1	1	
9	R3	3	1.5	mix9_OUT	12	1	1	
9	R1	1	0	mix14_OUT	12	1	2	
9	R2	2	0.75	mix14_OUT	12	1	2	
9	R3	3	0.75	mix14_OUT	12	1	2	
9	R1	1	1	mix9_IN	11	1	1	
9	R2	2	0	mix9_IN	11	1	1	
9	R3	3	1	mix9_IN	11	1	1	
9	R1	1	1	mix14_IN	11	1	2	
9	R2	2	1	mix14_IN	11	1	2	
9	R3	3	2	mix14_IN	11	1	2	
9	R1	1	1	tot9_IN	21	2	1	
9	R2	2	1	tot9_IN	21	2	1	
9	R3	3	2	tot9_IN	21	2	1	
9	R1	1	1	tot14_IN	21	2	2	
9	R2	2	1	tot14_IN	21	2	2	
9	R3	3	2	tot14_IN	21	2	2	
9	R1	1	0.75	tot9_OUT	22	2	1	
9	R2	2	0.75	tot9_OUT	22	2	1	
